"","word","sentiment","n","date"
"1","free","positive",669,2021-04-03
"2","cashback","positive",334,2021-04-03
"3","top","positive",306,2021-04-03
"4","hot","positive",297,2021-04-03
"5","hodl","positive",289,2021-04-03
"6","gold","positive",248,2021-04-03
"7","worth","positive",159,2021-04-03
"8","love","positive",154,2021-04-03
"9","recommended","positive",145,2021-04-03
"10","win","positive",144,2021-04-03
"11","fomo","negative",143,2021-04-03
"12","dent","negative",125,2021-04-03
"13","bullish","positive",121,2021-04-03
"14","exciting","positive",121,2021-04-03
"15","ready","positive",105,2021-04-03
"16","sad","negative",98,2021-04-03
"17","support","positive",98,2021-04-03
"18","happy","positive",87,2021-04-03
"19","success","positive",86,2021-04-03
"20","risk","negative",78,2021-04-03
"21","hard","negative",68,2021-04-03
"22","strong","positive",66,2021-04-03
"23","rich","positive",64,2021-04-03
"24","fun","positive",63,2021-04-03
"25","smart","positive",59,2021-04-03
"26","breaks","negative",58,2021-04-03
"27","easy","positive",58,2021-04-03
"28","congratulations","positive",57,2021-04-03
"29","break","negative",56,2021-04-03
"30","nice","positive",54,2021-04-03
"31","amazing","positive",53,2021-04-03
"32","gains","positive",53,2021-04-03
"33","lucky","positive",50,2021-04-03
"34","freedom","positive",48,2021-04-03
"35","broke","negative",47,2021-04-03
"36","trust","positive",47,2021-04-03
"37","crazy","negative",45,2021-04-03
"38","scam","negative",45,2021-04-03
"39","reward","positive",42,2021-04-03
"40","wrong","negative",42,2021-04-03
"41","resistance","negative",41,2021-04-03
"42","miss","negative",40,2021-04-03
"43","kindly","positive",39,2021-04-03
"44","shit","negative",39,2021-04-03
"45","successful","positive",36,2021-04-03
"46","die","negative",35,2021-04-03
"47","lost","negative",34,2021-04-03
"48","dump","negative",33,2021-04-03
"49","stellar","positive",33,2021-04-03
"50","wonderful","positive",33,2021-04-03
"51","bearish","negative",32,2021-04-03
"52","breaking","negative",32,2021-04-03
"53","wow","positive",32,2021-04-03
"54","cool","positive",31,2021-04-03
"55","fast","positive",30,2021-04-03
"56","bad","negative",29,2021-04-03
"57","bs","negative",29,2021-04-03
"58","enjoy","positive",29,2021-04-03
"59","fuck","negative",29,2021-04-03
"60","glad","positive",29,2021-04-03
"61","volatility","negative",29,2021-04-03
"62","safe","positive",28,2021-04-03
"63","popular","positive",27,2021-04-03
"64","promising","positive",27,2021-04-03
"65","fucking","negative",26,2021-04-03
"66","limited","negative",26,2021-04-03
"67","luck","positive",26,2021-04-03
"68","valor","positive",26,2021-04-03
"69","cheap","negative",25,2021-04-03
"70","gem","positive",25,2021-04-03
"71","lead","positive",25,2021-04-03
"72","perfect","positive",25,2021-04-03
"73","savings","positive",25,2021-04-03
"74","awesome","positive",24,2021-04-03
"75","bonus","positive",24,2021-04-03
"76","excited","positive",24,2021-04-03
"77","fall","negative",24,2021-04-03
"78","boom","positive",22,2021-04-03
"79","difficulty","negative",22,2021-04-03
"80","lose","negative",22,2021-04-03
"81","poor","negative",21,2021-04-03
"82","super","positive",21,2021-04-03
"83","unknown","negative",21,2021-04-03
"84","beautiful","positive",20,2021-04-03
"85","celebration","positive",20,2021-04-03
"86","fud","negative",20,2021-04-03
"87","pretty","positive",20,2021-04-03
"88","secure","positive",20,2021-04-03
"89","volatile","negative",20,2021-04-03
"90","falling","negative",19,2021-04-03
"91","favorite","positive",19,2021-04-03
"92","gain","positive",19,2021-04-03
"93","leading","positive",19,2021-04-03
"94","recommend","positive",19,2021-04-03
"95","fib","negative",18,2021-04-03
"96","promise","positive",18,2021-04-03
"97","relent","positive",18,2021-04-03
"98","succeed","positive",18,2021-04-03
"99","wild","negative",18,2021-04-03
"100","broken","negative",17,2021-04-03
"101","discord","negative",17,2021-04-03
"102","disruption","negative",17,2021-04-03
"103","downside","negative",17,2021-04-03
"104","expensive","negative",17,2021-04-03
"105","fear","negative",17,2021-04-03
"106","hate","negative",17,2021-04-03
"107","positive","positive",17,2021-04-03
"108","boost","positive",16,2021-04-03
"109","burn","negative",16,2021-04-03
"110","debt","negative",16,2021-04-03
"111","explode","negative",16,2021-04-03
"112","funny","negative",16,2021-04-03
"113","healthy","positive",16,2021-04-03
"114","progress","positive",16,2021-04-03
"115","proud","positive",16,2021-04-03
"116","sin","negative",16,2021-04-03
"117","wealthy","positive",16,2021-04-03
"118","dead","negative",15,2021-04-03
