country;emoji;ALPHA-3
China;../pics/twitter-emojis/flag-china_1f1e8-1f1f3.png;CHN
United States;../pics/twitter-emojis/flag-united-states_1f1fa-1f1f8.png;USA
Kazakhstan;../pics/twitter-emojis/flag-kazakhstan_1f1f0-1f1ff.png;KAZ
Russian Federation;../pics/twitter-emojis/flag-russia_1f1f7-1f1fa.png;RUS
Other;../pics/twitter-emojis/globe-showing-europe-africa_1f30d.png;XXX
Iran, Islamic Rep.;../pics/twitter-emojis/flag-iran_1f1ee-1f1f7.png;IRN
Malaysia;../pics/twitter-emojis/flag-malaysia_1f1f2-1f1fe.png;MYS
Canada;../pics/twitter-emojis/flag-canada_1f1e8-1f1e6.png;CAN
Germany;../pics/twitter-emojis/flag-germany_1f1e9-1f1ea.png;GER
Ireland;../pics/twitter-emojis/flag-cote-divoire_1f1e8-1f1ee.png;IRL
Mainland China;../pics/twitter-emojis/flag-china_1f1e8-1f1f3.png;CHN
Germany *;../pics/twitter-emojis/flag-germany_1f1e9-1f1ea.png;GER
Ireland *;../pics/twitter-emojis/flag-cote-divoire_1f1e8-1f1ee.png;IRL
