"","date","country","monthly_hashrate_.","monthly_absolute_hashrate_EH.S"
"1","2019-09-01","Mainland China","75.53%",66.76
"2","2019-09-01","Other","6.1%",5.39
"3","2019-09-01","Russian Federation","5.93%",5.24
"4","2019-09-01","United States","4.06%",3.59
"5","2019-09-01","Malaysia","3.25%",2.88
"6","2019-09-01","Iran, Islamic Rep.","1.74%",1.54
"7","2019-09-01","Kazakhstan","1.42%",1.26
"8","2019-09-01","Canada","1.06%",0.94
"9","2019-09-01","Germany *","0.9%",0.8
"10","2019-09-01","Ireland *","0.0%",0
"11","2019-10-01","Mainland China","74.78%",71.03
"12","2019-10-01","Other","6.29%",5.98
"13","2019-10-01","Russian Federation","5.87%",5.57
"14","2019-10-01","United States","5.58%",5.3
"15","2019-10-01","Malaysia","3.26%",3.1
"16","2019-10-01","Iran, Islamic Rep.","1.77%",1.68
"17","2019-10-01","Kazakhstan","1.37%",1.3
"18","2019-10-01","Canada","0.65%",0.61
"19","2019-10-01","Germany *","0.43%",0.41
"20","2019-10-01","Ireland *","0.0%",0
"21","2019-11-01","Mainland China","72.33%",66.21
"22","2019-11-01","Other","6.66%",6.1
"23","2019-11-01","United States","6.58%",6.02
"24","2019-11-01","Russian Federation","6.24%",5.72
"25","2019-11-01","Malaysia","3.66%",3.35
"26","2019-11-01","Kazakhstan","1.71%",1.56
"27","2019-11-01","Iran, Islamic Rep.","1.6%",1.46
"28","2019-11-01","Canada","0.87%",0.79
"29","2019-11-01","Germany *","0.34%",0.31
"30","2019-11-01","Ireland *","0.0%",0
"31","2019-12-01","Mainland China","73.46%",70.06
"32","2019-12-01","Russian Federation","6.23%",5.94
"33","2019-12-01","Other","6.2%",5.92
"34","2019-12-01","Malaysia","3.92%",3.74
"35","2019-12-01","United States","3.87%",3.69
"36","2019-12-01","Iran, Islamic Rep.","2.71%",2.59
"37","2019-12-01","Kazakhstan","2.18%",2.08
"38","2019-12-01","Canada","1.03%",0.98
"39","2019-12-01","Germany *","0.4%",0.38
"40","2019-12-01","Ireland *","0.0%",0
"41","2020-01-01","Mainland China","72.69%",79.41
