"","word","sentiment","n","date"
"1","free","positive",526,2021-03-11
"2","easy","positive",521,2021-03-11
"3","worth","positive",383,2021-03-11
"4","lucky","positive",293,2021-03-11
"5","gold","positive",252,2021-03-11
"6","win","positive",239,2021-03-11
"7","hodl","positive",212,2021-03-11
"8","luck","positive",211,2021-03-11
"9","ready","positive",175,2021-03-11
"10","bullish","positive",154,2021-03-11
"11","top","positive",135,2021-03-11
"12","love","positive",114,2021-03-11
"13","rich","positive",111,2021-03-11
"14","faster","positive",110,2021-03-11
"15","enjoy","positive",106,2021-03-11
"16","smarter","positive",102,2021-03-11
"17","stronger","positive",98,2021-03-11
"18","wisdom","positive",96,2021-03-11
"19","exceeds","positive",93,2021-03-11
"20","break","negative",92,2021-03-11
"21","freedom","positive",89,2021-03-11
"22","breaking","negative",87,2021-03-11
"23","mar","negative",83,2021-03-11
"24","wise","positive",83,2021-03-11
"25","fool","negative",82,2021-03-11
"26","won","positive",76,2021-03-11
"27","winners","positive",75,2021-03-11
"28","kindly","positive",74,2021-03-11
"29","support","positive",73,2021-03-11
"30","easier","positive",71,2021-03-11
"31","cheap","negative",69,2021-03-11
"32","smart","positive",68,2021-03-11
"33","resistance","negative",67,2021-03-11
"34","bad","negative",64,2021-03-11
"35","criticizing","negative",61,2021-03-11
"36","success","positive",61,2021-03-11
"37","trust","positive",59,2021-03-11
"38","fun","positive",58,2021-03-11
"39","reward","positive",58,2021-03-11
"40","shrug","negative",56,2021-03-11
"41","fomo","negative",55,2021-03-11
"42","hard","negative",55,2021-03-11
"43","amazing","positive",54,2021-03-11
"44","thrilled","positive",54,2021-03-11
"45","bonus","positive",53,2021-03-11
"46","bright","positive",53,2021-03-11
"47","shine","positive",51,2021-03-11
"48","risk","negative",50,2021-03-11
"49","die","negative",49,2021-03-11
"50","cashback","positive",45,2021-03-11
"51","nice","positive",45,2021-03-11
"52","wow","positive",45,2021-03-11
"53","strong","positive",43,2021-03-11
"54","happy","positive",42,2021-03-11
